0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
CaseNumber,ReportingArea,AmendedSupplemental,DamageUnder1000,CounterReport,PrivateProperty,AccidentDateTime,AccidentAddress,AccidentCrossStreet,AccidentCity,AccidentState,AccidentZip,AccidentCounty,AccidentBeat,AccidentLongitude,AccidentLatitude,AtIntersection,Distance,Feet_Miles,Direction,RoadType,HighwayNumber,MilePoint,DetailCallSign,DateReported,AgencyCode,Investigated,TotalVehicles,DistrictNumber,PrivatePublicProperty,PhotosTaken,RailroadCrossing,ConstructionZone,HighwayInterchange,BridgeRelated,A_Location,B_FirstHarmfulEvent,B_SecondHarmfulEvent,B_MostHarmfulEvent,C_AproachOvertakingTurn,D_RoadDescription,E_RoadContour,F_RoadSurfaceType,G_RoadCondition,H_LightingCondition,J_WeatherCondition,emsTimeNotified,emsTimeArrived,emsTimeArrivedAtHospital,emsProvider,Trafficway_Flow,NumberOfLanes,TrafficControlFunctioning,MostSignificantTrafficControlDevices,PersonType,RelatedUnit,Juvenile,PrimaryViolation,CommonCode,DUICharge,PositionIn_OnVehicle,ComplianceWithDrivingRestrictions,ComplianceWithDrivingEndorsements,SafetyEquipmentUsed_System,SafetyEquipmentUsed_Use,SafetyEquipmentUsed_Helment,AirBag,AirBagLocation,Ejection,SuspectedAlcohol_OfficerOpinionOnly,SuspectedDrugs_OfficerOpinionOnly,InjurySeverity,EjectionPath,AlcoholSuspected_OfficerOpinionOnly,TestedForAlcohol,OtherDrugImpairmentSuspected_OfficerOpinionOnly,TestedForOtherDrugs,DeatAtScene,TakenTo,ExpiredDateTime,TrafficUnitNumber,UnitType,NumberOfOccupants,HitAndRun,Commercial,TowedDueToDamage,K_Vehicle_VehicleCombination,L_DirectionOfTravel_PrioToImpact,M_VehicleMovement_PriorToImpact,N_RoadwaySpeedLimit,P_EstimatedVehicleSpeed,Q_DriverAction,R_Driver_MostApparentHumanContributingFactor,S_ByPedestrianAction_OfficerOpinionOnly,T_VehicleDefect_Condition,AccidentAvoidanceManeuver,Fire_HazardousMaterialsInvolvement,NarrativeTitle,NarrativeText
AC20-0015553,CT,0,0,0,0,10/1/20 11:35,S QUEBEC ST,E DRY CREEK RD,Centennial,CO,80112,10,R251,-104.904267,39.580525,,,,,3,,,T85,10/1/20 11:35,,1,2,3,0,,0,,,0,1,7,,7,3,4,2,2,DRY,1,NONE,,,,,,,,,3,1,N,Following too closely,142,0,1,0,0,B,1,A,1,A,0,0,0,0,,,,,,,,,1,1,1,0,0,,9,5,1,35,15,13,NO APPARENT CONTRIBUTING FACTOR,,,,,,"Both V1 &amp; V2 were S/B on Quebec near E. Dry Creek Rd. V2 stopped due to traffic at the light, D1 thought it would be a slow stop but traffic stopped quicker than she thought. V1 rear ended V2. Non-injury."
AC20-0015553,CT,0,0,0,0,10/1/20 11:35,S QUEBEC ST,E DRY CREEK RD,Centennial,CO,80112,10,R251,-104.904267,39.580525,,,,,3,,,T85,10/1/20 11:35,,1,2,3,0,,0,,,0,1,7,,7,3,4,2,2,DRY,1,NONE,,,,,,,,,3,2,N,,,0,1,0,0,B,1,A,1,A,0,0,0,0,,,,,,,,,2,1,1,0,0,,9,5,3,35,0,0,NO APPARENT CONTRIBUTING FACTOR,,,,,,"Both V1 &amp; V2 were S/B on Quebec near E. Dry Creek Rd. V2 stopped due to traffic at the light, D1 thought it would be a slow stop but traffic stopped quicker than she thought. V1 rear ended V2. Non-injury."
AC20-0015614,CT,0,0,0,0,10/2/20 12:21,E Arapahoe Rd ,S POTOMAC ST,Centennial,CO,80112,10,R27,-104.83118,39.595025,,100,F,W,2,88,,A31,10/3/20 4:58,,1,2,4,0,Y,0,N,0,0,1,7,,7,3,3,1,2,DRY,1,NONE,,,,,,,,,3,1,N,FOLLOWING TOO CLOSELY,,0,1,0,0,B,1,A,1,A,0,0,0,0,,,,,,,,,1,1,1,0,0,,5,3,2,55,5,17,DISTRACTED/CELL PHONE,,NONE,,,,T1 AND T2 WERE TRAVELING EASTBOUND ON ARAPAHOE RD. IN THE NUMBER 3 LANE. T2 WAS STOPPED AT THE RED LIGHT IN TRAFFIC AND T1 HIT THE LEFT REAR SIDE OF T2 BUMPER. T1 STATED THAT HE LOOKED DOWN AT HIS PHONE TO LOOK FOR DIRECTIONS AND STRUCK THE REAR OF T2.&nbsp;
AC20-0015614,CT,0,0,0,0,10/2/20 12:21,E Arapahoe Rd ,S POTOMAC ST,Centennial,CO,80112,10,R27,-104.83118,39.595025,,100,F,W,2,88,,A31,10/3/20 4:58,,1,2,4,0,Y,0,N,0,0,1,7,,7,3,3,1,2,DRY,1,NONE,,,,,,,,,3,2,N,NONE,,0,1,0,0,B,1,A,1,A,0,0,0,0,,,,,,,,,2,1,1,0,0,N,7,3,3,55,0,0,NO APPARENT CONTRIBUTING FACTOR,,NONE,,,,T1 AND T2 WERE TRAVELING EASTBOUND ON ARAPAHOE RD. IN THE NUMBER 3 LANE. T2 WAS STOPPED AT THE RED LIGHT IN TRAFFIC AND T1 HIT THE LEFT REAR SIDE OF T2 BUMPER. T1 STATED THAT HE LOOKED DOWN AT HIS PHONE TO LOOK FOR DIRECTIONS AND STRUCK THE REAR OF T2.&nbsp;
AC20-0015621,CT,0,0,0,0,10/2/20 15:01,S COLORADO BLVD, E COSTILLA AVE,Centennial,CO,80122,10,R323,-104.941431,39.592949,,,,,3,,,T85,10/2/20 15:01,,1,2,2,0,,0,,,0,1,8,,8,3,1,1,2,DRY,1,NONE,,,,,,,,,3,1,N,Failed to yield ROW,278,0,1,0,0,B,1,A,1,A,0,0,0,0,,,,,,,,,1,1,1,0,0,,5,3,5,35,10,3,NO APPARENT CONTRIBUTING FACTOR,,,,,,V1 was E/B on Costilla Ave at S. Colorado Blvd making a left turn to go north on Colorado Blvd. V2 was S/B on Colorado Blvd. The front of V1 collided with the passenger side of V2. No injury.&nbsp;
AC20-0015621,CT,0,0,0,0,10/2/20 15:01,S COLORADO BLVD, E COSTILLA AVE,Centennial,CO,80122,10,R323,-104.941431,39.592949,,,,,3,,,T85,10/2/20 15:01,,1,2,2,0,,0,,,0,1,8,,8,3,1,1,2,DRY,1,NONE,,,,,,,,,3,2,N,,,0,1,0,0,B,1,A,4,D,0,0,0,0,,,,,,,,,2,1,2,0,0,Y,5,5,1,40,35,0,NO APPARENT CONTRIBUTING FACTOR,,,,,,V1 was E/B on Costilla Ave at S. Colorado Blvd making a left turn to go north on Colorado Blvd. V2 was S/B on Colorado Blvd. The front of V1 collided with the passenger side of V2. No injury.&nbsp;
AC20-0015621,CT,0,0,0,0,10/2/20 15:01,S COLORADO BLVD, E COSTILLA AVE,Centennial,CO,80122,10,R323,-104.941431,39.592949,,,,,3,,,T85,10/2/20 15:01,,1,2,2,0,,0,,,0,1,8,,8,3,1,1,2,DRY,1,NONE,,,,,,,,,4,2,N,,,0,3,,,B,1,A,3,D,0,,,0,,,,,,,,,2,1,2,0,0,Y,5,5,1,40,35,0,NO APPARENT CONTRIBUTING FACTOR,,,,,,V1 was E/B on Costilla Ave at S. Colorado Blvd making a left turn to go north on Colorado Blvd. V2 was S/B on Colorado Blvd. The front of V1 collided with the passenger side of V2. No injury.&nbsp;
AC20-0015691,CT,0,0,0,0,10/3/20 19:43,S Parker Rd,E ORCHARD RD,Centennial,CO,80015,10,R464,-104.810498,39.61036,,,,,2,83,,B61,10/3/20 20:52,10,1,2,6,0,Y,0,N,0,0,1,6,,6,3,1,1,2,DRY,3,NONE,,,,,,,,,3,1,N,CARELESS DRIVE,141,0,1,0,0,B,1,A,2,B,0,1,0,0,,,,,,,,,1,1,1,0,0,Y,9,7,1,40,25,17,Careless Driving,,NONE,,,,<p>TU2 was stopped at the left turn lane to turn Northbound on to Parker Rd. TU1 drove Westbound across Parker Rd. and ran right into TU2 - head on.</p><p>TU2 is a Parks and Wildlife vehicle with fleet insurance. They were unable to locate a policy number.</p>
AC20-0015691,CT,0,0,0,0,10/3/20 19:43,S Parker Rd,E ORCHARD RD,Centennial,CO,80015,10,R464,-104.810498,39.61036,,,,,2,83,,B61,10/3/20 20:52,10,1,2,6,0,Y,0,N,0,0,1,6,,6,3,1,1,2,DRY,3,NONE,,,,,,,,,3,2,N,,,0,1,0,1,B,1,A,2,B,0,0,0,0,,,,,,,,,2,1,3,0,0,Y,5,3,3,40,0,0,NO APPARENT CONTRIBUTING FACTOR,,NONE,,,,<p>TU2 was stopped at the left turn lane to turn Northbound on to Parker Rd. TU1 drove Westbound across Parker Rd. and ran right into TU2 - head on.</p><p>TU2 is a Parks and Wildlife vehicle with fleet insurance. They were unable to locate a policy number.</p>
